food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
Ingokho (Fried Chicken),Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Chicken,1,2220,532,6.8,44.6,35.3,9.1,0,4.3,31,5.6,38,492,410,932,2.13,39,134,134,134,0,0.18,0.25,12.3,13,13,0.97,2.3
Stewed Guinea Fowl,Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Guinea fowl,1,642,154,69.7,15.8,9,2,0.7,2.7,31,2,22,152,240,736,1.25,18,10,18,2,96,0.02,0.15,2.4,7,7,0.14,8.4
"Butter (cow milk), no added salt (~80-84% fat)",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,No Species Assignment,1,3020,735,17.2,1.1,81.3,0,0,0.7,15,0,2,20,15,10,0.06,1,845,858,832,153,0,0.05,1.1,6,6,0,0
"Butter (cow milk), salted (~80% fat)",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,No Species Assignment,1,3040,739,15.3,1.1,81.3,0.6,0,1.7,17,0.01,2,16,23,776,0.06,1,845,858,832,153,0,0.05,1.1,6,6,0,0
Chaas (Diluted Yoghurt),Low Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,252,60,86.6,2,2.2,8,0,1.1,106,0.1,8,66,93,262,0.24,2,24,26,23,16,0.04,0.11,0,0,0,0.12,0
Chai ya Maziwa (Mixed Tea),Low Fat Dairy,Milk And Dairy Products;Others,Milk And Dairy Products;Others,Dairy,No GDR Assignment,Cow;Tea,1,153,36,92.1,1.1,1.2,5.4,0,0.3,42,0,5,40,45,15,0.21,1,14,14,13,6,0,0,0,1,1,0.17,0
"Cheese, cheddar, regular fat",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,1660,401,37,26,32.8,0.4,0,3.8,800,0.3,27,478,73,600,3.55,17,166,174,159,87,0.04,0.5,1.5,52,52,1.9,1
"Cheese, cottage (cow milk), plain, skimmed",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,382,91,79,13.3,2.5,3.8,0,1.5,60,0.1,8,143,123,450,0.24,6,34,37,30,44,0.05,0.2,0.5,3,3,0.6,0
"Cheese, cottage (cow milk), plain, whole",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,508,121,75.4,15.4,5.7,2.1,0,1.4,89,0.1,8,143,123,277,0.24,6,35,38,31,44,0.05,0.29,0.5,3,3,0.6,0
"Cheese, cottage, Milk, Cow, Sour",High Fat Dairy,Milk And Dairy Products,Milk And Dairy Products,Dairy,No GDR Assignment,Cow,1,515,122,73.6,13.7,4.3,7.2,0,1.2,112,0.7,8,180,104,364,0.4,10,37,38,36,12,0.03,0.27,0.1,12,12,0.43,0
Coffee with Milk,Low Fat Dairy,Milk And Dairy Products;Others,Milk And Dairy Products;Others,Dairy,No GDR Assignment,Cow;Coffee,1,0,31.5,0,1.3,1.6,3.1,0,0,48.1,0.1,5.6,38.7,67.6,23.5,0.2,0,22.6,0,0,0,0,0.1,0,2.4,0,0.2,0.4
